iter	Passed	Remaining
0	23	23860
1	31	15490
2	65	21623
3	67	16916
4	71	14310
5	74	12329
6	78	11173
7	82	10201
8	85	9379
9	182	18037
10	185	16645
11	188	15490
12	194	14792
13	196	13871
14	198	13040
15	201	12364
16	203	11766
17	205	11199
18	209	10837
19	211	10377
20	212	9929
21	257	11462
22	261	11115
23	264	10758
24	266	10412
25	269	10086
26	271	9780
27	275	9578
28	278	9320
29	280	9062
30	282	8841
31	285	8631
32	348	10223
33	351	9987
34	354	9764
35	355	9518
36	356	9283
37	359	9092
38	361	8913
39	362	8706
40	365	8545
41	369	8422
42	372	8298
43	375	8159
44	419	8902
45	459	9524
46	462	9368
47	465	9222
48	470	9134
49	512	9742
50	516	9603
51	539	9827
52	541	9677
53	544	9531
54	546	9392
55	550	9276
56	553	9155
57	589	9574
58	621	9919
59	624	9778
60	626	9647
61	631	9554
62	634	9439
63	669	9793
64	672	9676
65	675	9563
66	678	9449
67	682	9351
68	683	9224
69	686	9117
70	688	9010
71	689	8888
72	691	8785
73	693	8683
74	697	8602
75	738	8976
76	741	8892
77	744	8798
78	747	8712
79	749	8619
80	751	8529
81	754	8442
82	755	8344
83	758	8275
84	761	8198
85	764	8121
86	767	8049
87	769	7974
88	775	7942
89	778	7876
90	781	7807
91	784	7742
92	786	7668
93	791	7632
94	794	7572
95	796	7501
96	799	7439
97	801	7377
98	803	7312
99	808	7273
100	810	7217
101	813	7159
102	815	7105
103	819	7061
104	822	7012
105	825	6959
106	827	6907
107	830	6857
108	831	6795
109	832	6736
110	836	6697
111	839	6654
112	841	6602
113	844	6559
1116	1028	7765
117	1079	8070
118	1082	8013
119	1085	7957
120	1087	7900
121	1112	8005
122	1113	7942
123	1116	7887
124	1118	7832
125	1121	7781
126	1127	7749
127	1130	7700
128	1132	7647
129	1135	7596
130	1140	7564
131	1143	7517
132	1171	7638
133	1174	7591
134	1178	7547
135	1179	7492
136	1182	7447
137	1185	7405
138	1187	7357
139	1190	7312
140	1192	7266
141	1194	7220
142	1197	7175
143	1209	7189
144	1212	7152
145	1214	7101
146	1217	7066
147	1220	7025
148	1222	6984
149	1225	6943
150	1230	6920
151	1262	7043
152	1263	6995
153	1289	7084
154	1296	7069
155	1299	7030
156	1301	6989
157	1304	6949
158	1307	6917
159	1310	6881
160	1313	6842
161	1314	6802
162	1330	6830
163	1331	6789
164	1333	67169165	1399	7031
166	1401	6993
167	1415	7009
168	1416	6966
169	1419	6929
170	1420	6886
171	1445	6960
172	1448	6922
173	1450	6886
174	1454	6857
175	1459	6833
176	1461	6796
177	1464	6761
178	1465	6721
179	1466	6681
180	1471	6659
181	1473	6622
182	1475	65187183	1495	6631
184	1498	6599
185	1508	6602
186	1509	6563
187	1539	6651
188	1545	6632
189	1548	6600
190	1552	6574
191	1555	6547
192	1558	6516
193	1581	6572
194	1588	6556
195	1610	6606
196	1612	6574
197	1655	6704
198	1657	6673
199	1660	6640
200	1662	6606
201	1665	6578
202	1670	6560
203	1673	6528
204	1676	6502
205	1681	6479
206	1683	6451
207	1726	6574
208	1751	6627
209	1753	6598
210	1800	6730
211	1804	6706
212	1807	6676
213	1816	6673
