Modelname,STrain,SValid,Pclass,Sex,Age,SibSp,Parch,Fare,C,Q,S,Name,Ticket,Cabin,Embarked,Age_Code,Age_Code_N,SPublic,Title_Code,Embarked_Code,Search,CV,Bestparams,Title,FareBin,Fare_Code,Vestparams,Family
0,RandomForestClassifier,0.9534510433386838,0.7910447761194029,o,o,o,o,o,o,o,o,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,RandomForestClassifier,0.9518459069020868,0.7985074626865671,o,o,o,o,o,o,o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x,x,x
2,RandomForestClassifier,0.9534510433386838,0.8134328358208955,o,o,o,o,o,o,o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x,x,x
3,RandomForestClassifier,0.9534510433386838,0.8022388059701493,o,o,o,o,o,o,o,o,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,RandomForestClassifier,0.9486356340288924,0.8022388059701493,o,o,o,o,o,o,o,o,o,x,x,x,x,o,4.0,x,x,x,x,x,x,x,x,x,x,x
5,RandomForestClassifier,0.9534510433386838,0.8134328358208955,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,0.772,x,x,x,x,x,x,x,x,x,x
6,RandomForestClassifier,0.9502407704654896,0.8134328358208955,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,o,x,x,x,x,x,x,x,x,x
7,RandomForestClassifier,0.9518459069020868,0.8022388059701493,o,o,o,o,o,o,o,o,o,x,x,x,x,o,5,x,x,x,x,x,x,x,x,x,x,x
8,RandomForestClassifier,0.9534510433386838,0.8022388059701493,o,o,o,o,o,o,o,o,o,x,x,x,x,x,3,x,x,x,x,x,x,x,x,x,x,x
9,RandomForestClassifier,0.9438202247191012,0.8171641791044776,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,o,o,x,x,x,x,x,x,x,x
10,RandomForestClassifier,0.9486356340288924,0.8246268656716418,o,o,o,o,o,o,x,x,x,x,x,x,x,o,3,x,o,o,x,x,x,x,x,x,x,x
11,RandomForestClassifier,0.9293739967897272,0.835820895522388,o,o,o,o,o,o,x,x,x,o,o,o,o,x,3,0.706,o,x,RS,5,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': x}",o,x,x,x,x
12,RandomForestClassifier,0.9357945425361156,0.8208955223880597,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,RS,5,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",x,o,x,x,x
13,RandomForestClassifier,0.9357945425361156,0.8208955223880597,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,RS,5,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",x,x,x,x,x
14,RandomForestClassifier,0.9117174959871588,0.8171641791044776,o,o,o,o,o,o,o,o,o,o,o,o,o,o,3,x,o,o,RS,5,"{'n_estimators': 1800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 110, 'bootstrap': False}",o,o,x,x,x
15,RandomForestClassifier,0.9117174959871588,0.8171641791044776,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,o,x,RS,5,"{'n_estimators': 1800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 110, 'bootstrap': False}",x,x,x,x,x
16,RandomForestClassifier,0.9117174959871588,0.8171641791044776,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,o,x,RS,5,"{'n_estimators': 1800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 110, 'bootstrap': False}",x,x,x,x,x
17,RandomForestClassifier,0.9117174959871588,0.8171641791044776,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,o,x,RS,5,"{'n_estimators': 1800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 110, 'bootstrap': False}",x,x,x,x,x
18,RandomForestClassifier,0.9058988764044944,0.8435754189944135,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,RS,3,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': True}",x,x,x,x,x
19,RandomForestClassifier,0.9058988764044944,0.8435754189944135,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,RS,3,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': True}",x,x,x,x,x
